Point,Corner,mc_iteration,Pass/Fail,Vo
749,LOCAL,749,,764.8e-3
750,LOCAL,750,,764e-3
751,LOCAL,751,,776.1e-3
752,LOCAL,752,,766.4e-3
753,LOCAL,753,,770.3e-3
754,LOCAL,754,,768.1e-3
755,LOCAL,755,,765.6e-3
756,LOCAL,756,,774e-3
757,LOCAL,757,,772.9e-3
758,LOCAL,758,,777.6e-3
759,LOCAL,759,,767.7e-3
760,LOCAL,760,,771.4e-3
761,LOCAL,761,,761.9e-3
762,LOCAL,762,,764.4e-3
763,LOCAL,763,,769.6e-3
764,LOCAL,764,,764.8e-3
765,LOCAL,765,,766.8e-3
766,LOCAL,766,,765.8e-3
767,LOCAL,767,,764.9e-3
768,LOCAL,768,,763e-3
769,LOCAL,769,,763.3e-3
770,LOCAL,770,,775.5e-3
771,LOCAL,771,,763.8e-3
772,LOCAL,772,,771.4e-3
773,LOCAL,773,,763.5e-3
774,LOCAL,774,,772.4e-3
775,LOCAL,775,,769.4e-3
776,LOCAL,776,,763e-3
777,LOCAL,777,,762.6e-3
778,LOCAL,778,,767.7e-3
779,LOCAL,779,,769.8e-3
